ChEMBLID,SMILES,pValue,StandType,grappolo
CHEMBL4462444,CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/c2ccccn2)CCc2ccccc2)CC1,5.47,Ki,Cz
CHEMBL4476119,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/c1cc(C(F)(F)F)ccn1)CCc1ccccc1)OCc1ccccc1,6.24,Ki,Cz
CHEMBL4586329,C[C@@H](/C=C/c1ccccn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,5.32,Ki,Cz
CHEMBL4454970,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/c1ccncc1)Cc1ccccc1)OCc1ccccc1,5.26,Ki,Cz
CHEMBL4549964,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/c1nccs1)Cc1ccccc1)OCc1ccccc1,5.77,Ki,Cz
CHEMBL4457989,C[n+]1ccsc1/C=C/[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1.[I-],6.03,Ki,Cz
CHEMBL1922311,Nc1c(C2=NCCN2)cnn1-c1cc(Cl)cc(Cl)c1,4.62,IC50,Cz
CHEMBL1458713,CC(C)C[C@H](NC(=O)[C@@H]1O[C@H]1C(=O)O)C(=O)NCCCCN=C(N)N,5.52,IC50,Cz
CHEMBL3785388,Cc1ccc(C)c(SC/C=N/NC(N)=S)c1,5.48,IC50,Cz
CHEMBL3787052,NC(=S)N/N=C/CSc1cccc(Cl)c1,4.72,IC50,Cz
CHEMBL582420,CCOc1cccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c1,5.58,IC50,Cz
CHEMBL597248,c1ccc(CNc2nc(Nc3ccccc3)nc3ccccc23)cc1,5.05,IC50,Cz
CHEMBL4793916,Cl.Cl.Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,4.58,IC50,Cz
CHEMBL531738,Cn1c(=O)n(C)c2cc(CNCCNc3ccnc4cc(Cl)ccc34)ccc21,4.29,IC50,Cz
CHEMBL533921,COCCNC(=O)c1ccc(OC2CCN(Cc3ccc(F)c(F)c3)CC2)c(Cl)c1,5.3,IC50,Cz
CHEMBL4747490,CON(C)C(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,4.0,Ki,Cz
CHEMBL4750144,O=C(N[C@@H](Cc1ccccc1)C(=O)Nc1cnoc1)c1ccccc1,4.7,Ki,Cz
CHEMBL4789329,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1cnoc1)c1ccccc1,5.0,Ki,Cz
CHEMBL4776689,O=C(N[C@@H](Cc1ccccc1)C(=O)NC/C=N/O)OCc1ccccc1,5.0,Ki,Cz
CHEMBL371466,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,6.3,Ki,Cz
CHEMBL200374,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC#N,5.6,Ki,Cz
CHEMBL4741557,CC(C)(C)OC(=O)N[C@@H](Cc1cccc(Cl)c1)C(=O)NCC#N,5.8,Ki,Cz
CHEMBL200160,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N,5.9,Ki,Cz
CHEMBL4751553,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)NC1(C#N)CC1,6.2,Ki,Cz
CHEMBL4754896,CC(C)(C#N)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1,5.5,Ki,Cz
CHEMBL550246,N#CCNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)c1ccccc1,6.6,Ki,Cz
CHEMBL4756127,N#CCNC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1,5.2,Ki,Cz
CHEMBL4789765,CC[C@@H](C)[C@H](NC(=O)c1ccccc1)C(=O)NC1(C#N)CC1,4.6,Ki,Cz
CHEMBL4751635,N#CCNC(=O)C1(NC(=O)c2ccccc2)CCCC1,5.1,Ki,Cz
CHEMBL4741957,N#CC1(NC(=O)C2(NC(=O)c3ccccc3)CCCC2)CC1,4.9,Ki,Cz
CHEMBL4764822,N#CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1,6.4,Ki,Cz
CHEMBL4799785,N#CCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1ccccc1,6.7,Ki,Cz
CHEMBL4780035,N#CCNC(=O)[C@H](Cc1ccc(OC(=O)c2ccccc2)cc1)NC(=O)c1ccccc1,5.9,Ki,Cz
CHEMBL4788271,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1cncnc1,5.3,Ki,Cz
CHEMBL4745460,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1,5.2,Ki,Cz
CHEMBL4792949,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1cncc(Br)c1,6.8,Ki,Cz
CHEMBL4754825,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1cccs1,6.1,Ki,Cz
CHEMBL4740550,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccco1,6.3,Ki,Cz
CHEMBL4784967,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1c[nH]c(=O)[nH]c1=O,5.9,Ki,Cz
CHEMBL4752430,Cn1nc(C(C)(C)C)cc1C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC#N,7.2,Ki,Cz
CHEMBL4776795,Cn1nc(C(C)(C)C)cc1C(=O)N[C@@H](Cc1ccccc1)C(=O)NC1(C#N)CC1,7.2,Ki,Cz
CHEMBL4741237,Cn1nc(C(F)(F)F)cc1C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC#N,6.3,Ki,Cz
CHEMBL4784502,CC(C)C[C@H](NC(=O)c1cc(C(C)(C)C)nn1C)C(=O)NCC#N,7.2,Ki,Cz
CHEMBL564131,Cn1nc(C(C)(C)C)cc1C(=O)N[C@@H](Cc1cccc(Cl)c1)C(=O)NCC#N,7.8,Ki,Cz
CHEMBL4761511,CC(C)C[C@H](NC(=O)c1cc(C(C)(C)C)nn1C)C(=O)NC1(C#N)CC1,7.6,Ki,Cz
CHEMBL4792937,CC(C)C[C@H](NC(=O)Cc1ccccc1)C(=O)NC1(C#N)CC1,7.4,Ki,Cz
CHEMBL4760625,CC(C)C[C@H](NC(=O)C1(c2ccccc2)CCC1)C(=O)NC1(C#N)CC1,7.7,Ki,Cz
CHEMBL4750552,CC(C)C[C@H](NC(=O)C(F)(F)c1ccccc1)C(=O)NC1(C#N)CC1,7.2,Ki,Cz
CHEMBL4792408,CC(C)C[C@H](NC(=O)C1(c2ccccc2)CC1)C(=O)NC1(C#N)CC1,7.6,Ki,Cz
CHEMBL4763131,CC(C)C[C@H](NC(=O)C(C)(C)c1ccccc1)C(=O)NC1(C#N)CC1,6.8,Ki,Cz
CHEMBL3785430,CC/C(=N\Nc1nc(-c2ccccc2)cs1)c1cccc(Br)c1,4.35,IC50,Cz
CHEMBL3785603,CC/C(=N\Nc1nc(-c2ccc(C)cc2)cs1)c1cccc(Br)c1,4.72,IC50,Cz
CHEMBL4744489,CC/C(=N\Nc1nc(-c2ccc(F)cc2)cs1)c1cccc(Br)c1,4.78,IC50,Cz
CHEMBL4743580,CC/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(Br)c1,4.49,IC50,Cz
CHEMBL3787688,CC/C(=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)c1cccc(Br)c1,4.84,IC50,Cz
CHEMBL4747507,CC/C(=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1)c1cccc(Br)c1,4.95,IC50,Cz
CHEMBL4746565,CC/C(=N\Nc1nc(-c2ccc(Cl)cc2Cl)cs1)c1cccc(Br)c1,4.82,IC50,Cz
CHEMBL4782594,CC/C(=N\Nc1nc(-c2ccc3ccccc3c2)cs1)c1cccc(Br)c1,5.02,IC50,Cz
CHEMBL4744510,CC/C(=N\Nc1nc(-c2ccccc2)c(C)s1)c1cccc(Br)c1,6.29,IC50,Cz
CHEMBL3787543,CC/C(=N\Nc1nc(-c2ccc(Br)cc2)c(C)s1)c1cccc(Br)c1,5.42,IC50,Cz
CHEMBL4861436,N#CCNC(=O)CN(Cc1ccccc1)C(=O)c1ccccc1,5.2,Ki,Cz
CHEMBL4846908,CC(C)(C#N)NC(=O)CN(Cc1ccccc1)C(=O)c1ccccc1,5.2,Ki,Cz
CHEMBL4852162,N#CC1(NC(=O)CN(Cc2ccccc2)C(=O)c2ccccc2)CC1,5.1,Ki,Cz
CHEMBL4873466,N#CCNC(=O)CN(Cc1ccccc1)C(=O)c1ccc(-c2ccccc2)cc1,5.5,Ki,Cz
CHEMBL4862863,N#CC1(NC(=O)CN(Cc2ccccc2)C(=O)c2ccc(-c3ccccc3)cc2)CC1,6.6,Ki,Cz
CHEMBL4875557,COc1ccc(-c2ccc(C(=O)N(CC(=O)NCC#N)Cc3ccccc3)cc2)cc1,5.3,Ki,Cz
CHEMBL4857068,COc1ccc(-c2ccc(C(=O)N(CC(=O)NC3(C#N)CC3)Cc3ccccc3)cc2)cc1,5.0,Ki,Cz
CHEMBL4853021,Cn1nc(C(C)(C)C)cc1C(=O)N(CC(=O)NCC#N)Cc1cccc(Cl)c1,6.8,Ki,Cz
CHEMBL4861629,Cn1nc(C(C)(C)C)cc1C(=O)N(CC(=O)NC1(C#N)CC1)Cc1ccccc1,5.2,Ki,Cz
CHEMBL4869083,N#CC1(NC(=O)CN(Cc2ccccc2)C(=O)Cc2ccccc2)CC1,5.6,Ki,Cz
CHEMBL4859457,CC(C)=CCC1=C(O)c2ccccc2/C(=N/NC(N)=S)C1=O,4.47,IC50,Cz
CHEMBL4845877,CC(C)=CCC1=C(O)c2ccccc2/C(=N/NC(=O)c2ccncc2)C1=O,4.48,IC50,Cz
CHEMBL4877896,O=C1C=C(Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C(=O)c2ccccc21,5.2,IC50,Cz
CHEMBL4878553,OCCCNc1nc(NCc2ccccc2)c2ccccc2n1,4.66,IC50,Cz
CHEMBL530354,Oc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,4.75,IC50,Cz
CHEMBL536813,Oc1cccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)c1,4.75,IC50,Cz
CHEMBL4863654,c1ccc(CNc2nc(Nc3nccs3)nc3ccccc23)cc1,4.8,IC50,Cz
CHEMBL4849695,Clc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,5.62,IC50,Cz
CHEMBL4851626,O=C(c1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1)N1CCOCC1,5.16,IC50,Cz
CHEMBL4854591,OCCCNc1nc(Nc2cccc(F)c2)c2ccccc2n1,4.6,IC50,Cz
CHEMBL4849162,O=C(c1ccc(Nc2nc(NCCCO)c3ccccc3n2)cc1)N1CCOCC1,4.82,IC50,Cz
CHEMBL4865594,OCCCNc1nc(Nc2ccc(Cl)cc2)nc2ccccc12,5.14,IC50,Cz
CHEMBL4848906,O=C(c1ccc(Nc2nc(NCCN3CCOCC3)c3ccccc3n2)cc1)N1CCOCC1,4.87,IC50,Cz
CHEMBL4855177,Clc1ccc(Nc2nc(NCCN3CCOCC3)c3ccccc3n2)cc1,5.6,IC50,Cz
CHEMBL598279,COc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,4.28,IC50,Cz
CHEMBL17483,c1ccc(Nc2nc(Nc3ccccc3)c3ccccc3n2)cc1,4.85,IC50,Cz
CHEMBL128135,O=C[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,9.36,Ki,Cz
CHEMBL5076256,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]1Cc2ccccc2OC1O)OCc1ccccc1,7.31,Ki,Cz
CHEMBL5079571,COc1ccccc1C[C@@H](C=O)NC(=O)[C@H](Cc1ccccc1)NCC(=O)OCc1ccccc1,7.66,Ki,Cz
CHEMBL5079029,COc1ccc2c(c1)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(O)O2,6.46,Ki,Cz
CHEMBL5089591,Cc1ccc2c(c1)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(O)O2,6.99,Ki,Cz
CHEMBL5082439,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]1Cc2cc(Cl)ccc2OC1O)OCc1ccccc1,7.13,Ki,Cz
CHEMBL5080091,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]1Cc2cc(F)ccc2OC1O)OCc1ccccc1,7.32,Ki,Cz
CHEMBL5081709,COC(=O)c1ccc2c(c1)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(O)O2,7.75,Ki,Cz
CHEMBL5079418,CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C=O)CCc2ccccc2)CC1,9.3,Ki,Cz
CHEMBL5084365,CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]2Cc3ccccc3OC2O)CC1,7.33,Ki,Cz
CHEMBL5091908,CC(=O)OC1Oc2ccccc2C[C@@H]1NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCN(C)CC1,6.0,Ki,Cz
CHEMBL5181562,O=C1/C(=C/C=C/c2ccco2)CCC/C1=C\C=C\c1ccco1,4.43,IC50,Cz
CHEMBL5184910,CCOC(=O)/C=C/C(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)c1ccccc1)Cc1ccccc1,4.7,IC50,Cz
CHEMBL5198927,COc1ccc(NC(=O)COC(=O)C(CC(C)C)N2C(=O)C(Cl)=C(Cl)C2=O)cc1,6.22,IC50,Cz
CHEMBL5207461,CC(C)CC(NC(=O)c1ccc(-c2ccccc2)o1)C(=O)NC1(C#N)CC1,4.52,IC50,Cz
CHEMBL5197613,C/C(=N\NC(N)=S)c1cccc(Cl)c1,4.52,IC50,Cz
CHEMBL5169822,C/C(=N\NC(N)=S)c1ccc([N+](=O)[O-])cc1,5.12,IC50,Cz
CHEMBL3558756,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)[C@H]1Cc1c[nH]c2ccccc12,9.96,IC50,Cz
CHEMBL4596992,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](C(C)C)N(C)C)[C@H]1Cc1c[nH]c2ccccc12,9.13,IC50,Cz
CHEMBL4596941,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)[C@H]1Cc1c[nH]c2ccccc12,9.47,IC50,Cz
CHEMBL4596414,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](C(C)C)N(C)C)[C@H]1Cc1c[nH]c2ccccc12,10.09,IC50,Cz
CHEMBL4595806,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)[C@H]1Cc1c[nH]c2ccccc12,9.31,IC50,Cz
CHEMBL4595223,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](CC(C)C)NC(=O)C2CCN(C)CC2)[C@H]1Cc1c[nH]c2ccccc12,8.87,IC50,Cz
CHEMBL4594870,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2CCCCC2)NC(=O)C2CCN(C)CC2)[C@H]1Cc1c[nH]c2ccccc12,10.07,IC50,Cz
CHEMBL4595559,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](CC2CCCCC2)NC(=O)C2CCN(C)CC2)[C@H]1Cc1c[nH]c2ccccc12,8.3,IC50,Cz
CHEMBL4598338,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CCc2ccccc2)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](C(C)C)N(C)C)[C@H]1Cc1c[nH]c2ccccc12,8.94,IC50,Cz
CHEMBL4594757,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C2CCN(C)CC2)[C@H]1Cc1c[nH]c2ccccc12,9.72,IC50,Cz
CHEMBL4595664,COC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C)[C@H]1Cc1c[nH]c2ccccc12,9.07,IC50,Cz
CHEMBL4597308,COC1=CC(=O)N(C(=O)/C=C/[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](C(C)C)N(C)C)C2CCCCC2)[C@H]1Cc1c[nH]c2ccccc12,9.15,IC50,Cz
CHEMBL4596647,COC1=CC(=O)N(C(=O)/C=C/[C@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)[C@H]1Cc1c[nH]c2ccccc12,10.05,IC50,Cz
CHEMBL5171874,COC1=CC(=O)N(C(=O)/C=C/[C@@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C1Cc1ccc(-c2ccccc2)cc1,9.92,IC50,Cz
CHEMBL5183942,COC1=CC(=O)N(C(=O)/C=C/[C@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C2CCN(C)CC2)C1Cc1ccc(-c2ccccc2)cc1,9.4,IC50,Cz
CHEMBL5191563,COC1=CC(=O)N(C(=O)/C=C/[C@@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C1Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,9.17,IC50,Cz
CHEMBL5179302,COC1=CC(=O)N(C(=O)/C=C/[C@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C2CCN(C)CC2)C1Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,9.1,IC50,Cz
CHEMBL5176188,COC1=CC(=O)N(C(=O)/C=C/[C@@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C1Cc1ccc(-c2ccc(OC)cc2)cc1,9.55,IC50,Cz
CHEMBL5199542,COC1=CC(=O)N(C(=O)/C=C/[C@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C2CCN(C)CC2)C1Cc1ccc(-c2ccc(OC)cc2)cc1,9.59,IC50,Cz
CHEMBL5184737,COC1=CC(=O)N(C(=O)/C=C/[C@@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C1Cc1ccc(-c2ccc(C#N)cc2)cc1,9.96,IC50,Cz
CHEMBL5175270,COC1=CC(=O)N(C(=O)/C=C/[C@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C2CCN(C)CC2)C1Cc1ccc(-c2ccc(C#N)cc2)cc1,9.89,IC50,Cz
CHEMBL5204190,COC1=CC(=O)N(C(=O)/C=C/[C@@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C)C1Cc1ccc(-c2ccc3ccccc3c2)cc1,9.16,IC50,Cz
CHEMBL5202965,COC1=CC(=O)N(C(=O)/C=C/[C@H](CCc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C2CCN(C)CC2)C1Cc1ccc(-c2ccc3ccccc3c2)cc1,8.81,IC50,Cz
CHEMBL5199098,CCCC[C@H]1O[C@@H]1/C=C/C=O,7.53,IC50,Cz
CHEMBL5276613,O=C(COCc1ccccc1Br)NCCc1nc2ccccc2[nH]1,4.11,IC50,Cz
CHEMBL5269694,N#CCNC(=O)[C@H](Cc1cc2ccccc2[nH]1)NC(=O)c1ccccc1,6.4,Ki,Cz
CHEMBL2172005,COc1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)[C@H](C)C2)cc1OC,5.9,Ki,Cz
CHEMBL5285296,N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Br)ccn1,6.6,Ki,Cz
CHEMBL5275039,Cc1cccc(OCCNC(=O)n2ccnc2)c1,6.0,IC50,Cz
CHEMBL1316091,Cc1ccc(OCCn2c(CCNC(=O)C3CCCCC3)nc3ccccc32)cc1,5.7,IC50,Cz
CHEMBL5270249,CCCCn1c(-c2ccc(Br)cc2)nc2ccccc21,4.26,IC50,Cz
CHEMBL5278633,OCCNCc1ccc(-c2ccc(Br)cc2Cl)o1,4.29,IC50,Cz
CHEMBL5290080,Clc1cc(Br)ccc1-c1ccc(CNCCN2CCOCC2)o1,4.04,IC50,Cz
CHEMBL5287453,NC(=S)N/N=C/c1ccc(-c2ccc(Br)cc2Cl)o1,6.35,IC50,Cz
CHEMBL100563,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NC1CN(C(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2)CC1=O,7.41,Ki,hCatL
CHEMBL314777,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C(C)C)C(C)(C)C)C(=O)C(=O)NC(C)CC,7.28,Ki,hCatL
CHEMBL86453,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C(C)C)C(C)(C)C)C(=O)C(=O)NC1CC1,6.81,Ki,hCatL
CHEMBL264623,CCCC(NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NC1CC1,7.92,Ki,hCatL
CHEMBL87150,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C(C)C)C(C)(C)C)C(=O)C(=O)N[C@@H](C)c1ccccc1,7.54,Ki,hCatL
CHEMBL313182,CC(C)[C@H](NC(=O)c1cnccn1)C(=O)N[C@H](C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)N[C@@H](CC(F)F)C(=O)C(=O)NC1CC1)C(C)(C)C,7.52,Ki,hCatL
CHEMBL340663,NC(=O)c1cn(-c2ccc(O)cc2)c2cc(-c3ccncc3)ccc2c1=O,4.43,IC50,hCatL
CHEMBL340384,NC(=O)c1cn(-c2ccc(O)cc2Cl)c2cc(-c3ccncc3)ccc2c1=O,4.66,IC50,hCatL
CHEMBL335942,O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCCC1,6.7,IC50,hCatL
CHEMBL171998,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](CNc1ccc(-c2ccccc2)cc1)Cc1ccccc1,7.5,Ki,hCatL
CHEMBL342189,C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,8.28,IC50,hCatL
CHEMBL354439,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)CNc1ccc(N2CCCCC2)cc1,8.7,Ki,hCatL
CHEMBL170962,O=C(N[C@@H](CCc1ccccc1)CNc1ccc(N2CCCCC2)cc1)C1CCCN1C(=O)OCc1ccccc1,5.11,Ki,hCatL
CHEMBL134494,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)CC(C)C,9.02,IC50,hCatL
CHEMBL1790991,CC[C@@H](C)[C@H](NC(=O)Nc1ccccc1C(F)(F)F)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,8.7,IC50,hCatL
CHEMBL169560,O=C(N[C@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCc1ccccc1)CNc1ccc(N2CCCCC2)cc1)OCc1ccccc1,9.0,Ki,hCatL
CHEMBL354132,O=C(N[C@H](CC1C=Nc2ccccc21)C(=O)N[C@@H](CCc1ccccc1)CNc1ccc(N2CCCCC2)cc1)OCc1ccccc1,9.0,Ki,hCatL
CHEMBL341014,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,7.7,Ki,hCatL
CHEMBL1790998,CC[C@@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,8.15,IC50,hCatL
CHEMBL334405,O=C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)c1cccc2ccccc12,8.35,IC50,hCatL
CHEMBL334443,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](C)C=O,8.51,IC50,hCatL
CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,8.18,IC50,hCatL
CHEMBL353725,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](CNc1ccc(N2CCCCC2)cc1)Cc1ccccc1,8.7,Ki,hCatL
CHEMBL1790995,CC[C@@H](C)[C@H](/N=C(\S)NCc1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,8.66,IC50,hCatL
CHEMBL1790994,CC[C@@H](C)[C@H](/N=C(\S)Nc1cccc2ccccc12)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,8.35,IC50,hCatL
CHEMBL169448,O=C(N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)CNc1ccc(N2CCCCC2)cc1)OCc1ccccc1,9.0,Ki,hCatL
CHEMBL336415,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)Cc1ccc(O)cc1,8.85,IC50,hCatL
CHEMBL1790996,CC[C@@H](C)[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,8.68,IC50,hCatL
CHEMBL1791000,CC[C@@H](C)[C@H](/N=C(\S)Nc1ccccc1)C(=O)N[C@@H](C=O)Cc1c[nH]c2ccccc12,8.66,IC50,hCatL
CHEMBL172456,CSCC[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)CNc1ccc(N2CCCCC2)cc1,7.44,Ki,hCatL
CHEMBL336591,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)Cc1ccccc1,9.02,IC50,hCatL
