ChEMBLID,SMILES,pValue,StandType,grappolo
CHEMBL105708,CC(C)CN1CC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1=O,6.56,Ki,Cz
CHEMBL101306,CCCN1CC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)CC1=O,6.44,Ki,Cz
CHEMBL352896,CC(=O)NCCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.46,Ki,Cz
CHEMBL351721,CNC(=O)CSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.82,Ki,Cz
CHEMBL161148,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,7.23,Ki,Cz
CHEMBL161817,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,8.54,Ki,Cz
CHEMBL162695,CC(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,8.34,Ki,Cz
CHEMBL161038,CC(C)(C)SCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,8.85,Ki,Cz
CHEMBL161651,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,8.6,Ki,Cz
CHEMBL161259,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,7.64,Ki,Cz
CHEMBL162250,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,7.26,Ki,Cz
CHEMBL263133,COc1ccc(CSCC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,7.49,Ki,Cz
CHEMBL162474,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCCCc1ccccc1,9.0,Ki,Cz
CHEMBL351045,CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC(C)(C)C,8.32,Ki,Cz
CHEMBL161739,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,8.1,Ki,Cz
CHEMBL350102,O=C(CSCCCc1ccccc1)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,6.67,Ki,Cz
CHEMBL160000,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC(C)(C)C,8.89,Ki,Cz
CHEMBL346190,CC(C)(C)c1ccc(CSCC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,7.66,Ki,Cz
CHEMBL161573,CC(C)(C)CC(C)(CC(C)(C)C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,8.3,Ki,Cz
CHEMBL160273,CCOC(=O)C(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.43,Ki,Cz
CHEMBL161508,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC1CCCCC1)OCc1ccccc1,8.12,Ki,Cz
CHEMBL352168,CC(C)C[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CSC(C)(C)C,8.7,Ki,Cz
CHEMBL158567,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCCCc1ccccc1)OCc1cccnc1,8.26,Ki,Cz
CHEMBL436227,CC(C)C[C@H](NC(=O)OCc1ccncc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC(C)(C)C,7.85,Ki,Cz
CHEMBL347459,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)CSCCCc1ccccc1)OCc1cccnc1,9.05,Ki,Cz
CHEMBL161116,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC(C)(C)C,7.22,Ki,Cz
CHEMBL159247,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCCCc1ccccc1,6.88,Ki,Cz
CHEMBL348117,CC(C)(C)CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.98,Ki,Cz
CHEMBL158815,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccn1,7.52,Ki,Cz
CHEMBL348163,CC(C)C[C@H](NC(=O)OCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC(C)(C)C,7.86,Ki,Cz
CHEMBL161424,CCC(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,8.24,Ki,Cz
CHEMBL157806,CC(C)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.52,Ki,Cz
CHEMBL159089,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC1CCCC1)OCc1ccccc1,7.46,Ki,Cz
CHEMBL348300,CCOC(=O)CSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.51,Ki,Cz
CHEMBL158629,CCOC(=O)CCSCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)N1CCOCC1,7.16,Ki,Cz
CHEMBL350888,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSCc1ccc(Cl)cc1)OCc1ccccc1,7.08,Ki,Cz
CHEMBL158806,CC(C)(C)SCC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,8.34,Ki,Cz
CHEMBL258808,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC(C)C,8.11,Ki,Cz
CHEMBL119515,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccccc21,4.52,IC50,Cz
CHEMBL119828,O=C1C(=O)N(S(=O)(=O)c2ccccc2)c2ccccc21,4.82,IC50,Cz
CHEMBL118638,Cc1ccc(C)c(CN2C(=O)C(=O)c3cc(C)ccc32)c1,4.1,IC50,Cz
CHEMBL119345,Cc1ccc2[nH]c(O)c(/N=N/C(=N)S)c2c1,4.3,IC50,Cz
CHEMBL326185,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccc(Cl)cc21,4.1,IC50,Cz
CHEMBL120254,NC(=S)/N=N/c1c(O)[nH]c2ccc([N+](=O)[O-])cc12,4.77,IC50,Cz
CHEMBL333067,O=C1C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21,5.22,IC50,Cz
CHEMBL118210,Cc1cc(C)c2[nH]c(O)c(/N=N/C(=N)S)c2c1,4.8,IC50,Cz
CHEMBL324722,COc1cccc(CN2C(=O)C(=O)c3cc(C)ccc32)c1,5.7,IC50,Cz
CHEMBL119213,NC(=S)/N=N/c1c(O)[nH]c2ccc(Cl)cc12,4.68,IC50,Cz
CHEMBL118355,Cc1cc(Cl)cc2c(/N=N/C(=N)S)c(O)[nH]c12,4.98,IC50,Cz
CHEMBL336693,O=C1C(=O)N(Cc2ccccc2)c2ccc(Cl)cc21,4.05,IC50,Cz
CHEMBL418861,NC(=S)/N=N/c1c(O)[nH]c2ccc(Br)cc12,4.7,IC50,Cz
CHEMBL118830,O=C1C(=O)N(C(=O)c2ccccc2)c2ccccc21,4.0,IC50,Cz
CHEMBL117767,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1-c1ccccc1,5.55,IC50,Cz
CHEMBL333137,NC(=S)/N=N/c1c(O)[nH]c2ccccc12,5.1,IC50,Cz
CHEMBL119370,NC(=S)/N=N/c1c(O)[nH]c2ccc(I)cc12,5.05,IC50,Cz
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,4.05,IC50,Cz
CHEMBL119756,NC(=S)/N=N/c1c(O)[nH]c2ccc(F)cc12,4.52,IC50,Cz
CHEMBL39255,O=C(N/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc2ccccc2c1,5.22,IC50,Cz
